file_name,number_commodities,obj,number_nodes,time_optimality,time_feasibility,gap,solution_status
15_266.txt,15,9.290000000000e+02,3567,600.01,600.0511,29.2788%,time_limit_reached
20_263.txt,20,1.311000000000e+03,2789,600.39,600.5143,46.8345%,time_limit_reached
20_313.txt,20,1.359000000000e+03,1377,600.31,600.4195,44.2973%,time_limit_reached
10_546.txt,10,6.940000000000e+02,16292,61.92,61.9347,0.0000%,optimal
10_188.txt,10,6.410000000000e+02,6954,43.47,43.4832,0.0000%,optimal
10_17.txt,10,6.940000000000e+02,195365,586.57,586.5827,0.0000%,optimal
15_287.txt,15,8.810000000000e+02,4139,600.01,600.0522,17.0261%,time_limit_reached
20_65.txt,20,1.152000000000e+03,1802,600.0,600.1143,38.5417%,time_limit_reached
5_699.txt,5,5.480000000000e+02,1,0.1,0.1077,0.0000%,optimal
5_944.txt,5,3.620000000000e+02,1,0.06,0.0618,0.0000%,optimal
20_350.txt,20,1.207000000000e+03,2068,600.0,600.1099,41.5907%,time_limit_reached
20_179.txt,20,1.325000000000e+03,1195,610.01,610.1151,50.6415%,time_limit_reached
5_661.txt,5,4.080000000000e+02,1,0.04,0.0458,0.0000%,optimal
5_70.txt,5,3.800000000000e+02,1,0.1,0.1036,0.0000%,optimal
10_862.txt,10,7.040000000000e+02,42008,219.41,219.4268,0.0000%,optimal
10_954.txt,10,6.770000000000e+02,75340,532.68,532.6945,0.0000%,optimal
10_582.txt,10,7.220000000000e+02,174520,595.66,595.6724,0.0000%,optimal
5_210.txt,5,4.260000000000e+02,1,0.07,0.0749,0.0000%,optimal
15_43.txt,15,1.118000000000e+03,5094,600.01,600.0529,31.7531%,time_limit_reached
10_843.txt,10,6.130000000000e+02,1141,7.96,7.9752,0.0000%,optimal
20_957.txt,20,1.106000000000e+03,2001,600.01,600.123,45.2080%,time_limit_reached
15_805.txt,15,1.186000000000e+03,4098,600.0,600.0506,32.9680%,time_limit_reached
20_820.txt,20,1.466000000000e+03,1909,600.53,600.6424,38.0628%,time_limit_reached
10_568.txt,10,8.010000000000e+02,25243,109.23,109.2404,0.0000%,optimal
15_733.txt,15,8.880000000000e+02,3442,600.01,600.0526,36.0360%,time_limit_reached
15_254.txt,15,8.990000000000e+02,5832,600.01,600.0553,33.9266%,time_limit_reached
15_263.txt,15,1.109000000000e+03,4423,600.01,600.0858,38.0523%,time_limit_reached
15_703.txt,15,8.180000000000e+02,3466,600.01,600.0558,33.1296%,time_limit_reached
5_548.txt,5,5.320000000000e+02,1,0.11,0.1157,0.0000%,optimal
5_124.txt,5,4.560000000000e+02,1,0.09,0.0941,0.0000%,optimal
15_147.txt,15,9.440000000000e+02,2887,600.01,600.0666,38.7712%,time_limit_reached
5_283.txt,5,3.620000000000e+02,1,0.07,0.0731,0.0000%,optimal
5_950.txt,5,4.860000000000e+02,1,0.09,0.0949,0.0000%,optimal
20_255.txt,20,1.159000000000e+03,933,600.01,600.1241,45.3840%,time_limit_reached
10_563.txt,10,5.670000000000e+02,2697,33.53,33.5476,0.0000%,optimal
20_361.txt,20,1.532000000000e+03,1344,600.01,600.1568,37.0757%,time_limit_reached
15_944.txt,15,8.940000000000e+02,3254,600.01,600.0535,36.4653%,time_limit_reached
5_389.txt,5,4.570000000000e+02,1,0.05,0.0512,0.0000%,optimal
10_733.txt,10,7.920000000000e+02,5013,33.25,33.2651,0.0000%,optimal
20_624.txt,20,1.189000000000e+03,2607,600.01,600.1251,34.9033%,time_limit_reached
